INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,692 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,693 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,694 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,695 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,696 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,697 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,698 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,699 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,700 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,701 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,702 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,702 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,702 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,702 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,702 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,703 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,704 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,705 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,706 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,707 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,708 -  Tools.spgr2d_func called
